CUSTOMER,STATE,GENDER,EDUCATION,INCOME,MONTHLY_PREMIUM_AUTO,POLICY_TYPE,VEHICLE_CLASS,TOTAL_CLAIM_AMOUNT
RB50392,Washington,NA,Master,0,"$1,000.00",Personal Auto,Four-Door Car,$2.70
QZ44356,Arizona,F,Bachelor,0,$94.00,Personal Auto,Four-Door Car,"$1,131.46"
AI49188,Nevada,F,Bachelor,48767,$108.00,Personal Auto,Two-Door Car,$566.47
WW63253,California,M,Bachelor,0,$106.00,Corporate Auto,SUV,$529.88
GA49547,Washington,M,High School or Below,36357,$68.00,Personal Auto,Four-Door Car,$17.27
OC83172,Oregon,F,Bachelor,62902,$69.00,Personal Auto,Two-Door Car,$159.38
XZ87318,Oregon,F,College,55350,$67.00,Corporate Auto,Four-Door Car,$321.60
CF85061,Arizona,M,Master,0,$101.00,Corporate Auto,Four-Door Car,$363.03
DY87989,Oregon,M,Bachelor,14072,$71.00,Corporate Auto,Four-Door Car,$511.20
BQ94931,Oregon,F,College,28812,$93.00,Special Auto,Four-Door Car,$425.53
SX51350,California,M,College,0,$67.00,Personal Auto,Four-Door Car,$482.40
VQ65197,California,NA,College,0,$110.00,Personal Auto,SUV,$528.00
DP39365,California,NA,Master,77026,$110.00,Corporate Auto,Four-Door Car,$472.03
SJ95423,Arizona,NA,High School or Below,99845,$110.00,Corporate Auto,SUV,$528.00
IL66569,California,NA,College,83689,$70.00,Corporate Auto,Four-Door Car,$307.14
BW63560,Oregon,NA,Bachelor,24599,$64.00,Corporate Auto,Four-Door Car,$42.92
FV94802,Nevada,NA,High School or Below,25049,$67.00,Personal Auto,Two-Door Car,$454.25
OE15005,California,NA,College,28855,$101.00,Personal Auto,SUV,$647.44
WC83389,Oregon,NA,College,51148,$72.00,Personal Auto,Four-Door Car,$308.98
FL50705,California,NA,High School or Below,66140,$101.00,Corporate Auto,Four-Door Car,$484.80
ZK25313,Oregon,NA,High School or Below,57749,$74.00,Personal Auto,Two-Door Car,$355.20
QK46697,Washington,M,Bachelor,61040,$79.00,Personal Auto,Two-Door Car,$20.38
YH23384,Arizona,NA,Bachelor,14072,$71.00,Personal Auto,Four-Door Car,$511.20
TZ98966,Nevada,NA,Bachelor,0,$73.00,Corporate Auto,Four-Door Car,$554.38
HM55802,California,NA,Bachelor,17870,$61.00,Corporate Auto,Four-Door Car,$439.20
FS42516,Oregon,NA,College,97541,$72.00,Personal Auto,Four-Door Car,$389.19
US89481,California,NA,Bachelor,0,$111.00,Personal Auto,Four-Door Car,$799.20
HS14476,Washington,M,College,29723,$80.00,Personal Auto,Four-Door Car,$20.99
GE62437,Arizona,NA,College,86584,$111.00,Personal Auto,Four-Door Car,$532.80
EJ77678,Oregon,NA,Master,75690,$80.00,Personal Auto,Four-Door Car,$384.00
SV85652,Arizona,NA,College,23158,$63.00,Personal Auto,Four-Door Car,$322.29
UL64533,Nevada,NA,High School or Below,65999,$237.00,Corporate Auto,Luxury SUV,$615.93
PF41800,California,NA,Bachelor,0,$65.00,Personal Auto,Four-Door Car,$308.15
HD95276,Washington,F,College,0,$130.00,Personal Auto,SUV,$23.82
SK67821,Oregon,NA,Bachelor,37260,$62.00,Corporate Auto,Four-Door Car,$15.44
YV55495,Arizona,NA,High School or Below,68987,$71.00,Personal Auto,Four-Door Car,$204.48
KY38074,California,NA,Bachelor,42305,$117.00,Personal Auto,Four-Door Car,$561.60
DM79012,Oregon,NA,Master,65706,$91.00,Personal Auto,Four-Door Car,$436.80
CM61827,Oregon,NA,Bachelor,0,$90.00,Personal Auto,Two-Door Car,$648.00
WC35801,Arizona,NA,High School or Below,53243,$66.00,Personal Auto,Four-Door Car,$157.40
QG25316,Nevada,NA,High School or Below,0,$70.00,Corporate Auto,Two-Door Car,$484.32
MB98372,Oregon,NA,College,50071,$71.00,Corporate Auto,Two-Door Car,$18.92
IL19217,California,NA,Bachelor,60021,$99.00,Personal Auto,Four-Door Car,$882.87
SR38658,Arizona,NA,High School or Below,43244,$103.00,Personal Auto,Sports Car,$494.40
YD87931,Washington,M,Doctor,46896,"$35,354.00",Personal Auto,Four-Door Car,$31.71
HG65722,Oregon,NA,Doctor,10105,$172.00,Personal Auto,SUV,$0.52
BU27331,Arizona,NA,Bachelor,0,$73.00,Personal Auto,Four-Door Car,$579.17
XM45289,Oregon,NA,High School or Below,23218,$71.00,Personal Auto,Two-Door Car,$447.79
KP34198,California,NA,Bachelor,0,$92.00,Corporate Auto,Four-Door Car,$529.62
SH90947,Arizona,NA,High School or Below,0,$62.00,Personal Auto,Four-Door Car,$313.02
WE95729,Oregon,NA,College,24804,$104.00,Personal Auto,SUV,$593.83
PY51963,California,NA,Bachelor,33190,$106.00,Corporate Auto,SUV,$508.80
RB69909,Nevada,NA,High School or Below,36014,$69.00,Special Auto,Four-Door Car,$173.96
NW21079,Washington,F,Master,67163,$61.00,Personal Auto,Two-Door Car,$33.19
FR46645,California,NA,Bachelor,16701,$113.00,Personal Auto,Four-Door Car,$831.63
SY17488,Arizona,NA,College,46623,$91.00,Corporate Auto,Four-Door Car,$436.80
AP67935,California,NA,College,64749,$64.00,Special Auto,Four-Door Car,$302.57
FS37417,Arizona,NA,High School or Below,0,$101.00,Personal Auto,SUV,$484.80
ML29312,Oregon,NA,High School or Below,16969,$124.00,Personal Auto,SUV,$704.77
UB61619,Oregon,NA,Master,11621,$108.00,Personal Auto,Four-Door Car,$518.40
CD86811,Arizona,NA,Bachelor,17622,$65.00,Personal Auto,Four-Door Car,$312.00
RU83859,California,NA,Bachelor,11489,$105.00,Personal Auto,Two-Door Car,$504.00
FG63582,Oregon,NA,Bachelor,0,$94.00,Personal Auto,Two-Door Car,$863.33
NN71951,California,NA,High School or Below,66525,$100.00,Personal Auto,SUV,$104.33
WB37082,Arizona,NA,Bachelor,0,$63.00,Personal Auto,Four-Door Car,$676.39
SM52139,Washington,NA,College,33663,$73.00,Personal Auto,Four-Door Car,$350.40
FL82372,Oregon,NA,College,22547,$112.00,Corporate Auto,SUV,$537.60
DP45816,Arizona,NA,High School or Below,61486,$97.00,Personal Auto,Two-Door Car,$465.26
GW33762,Oregon,NA,Bachelor,0,$95.00,Personal Auto,Two-Door Car,$456.00
RZ33670,California,NA,College,29879,$102.00,Personal Auto,Four-Door Car,$500.25
PY70169,Oregon,NA,High School or Below,93011,$113.00,Personal Auto,SUV,$281.45
MO91628,Oregon,NA,Master,65186,$65.00,Personal Auto,Two-Door Car,$5.43
HW87852,Oregon,NA,Master,26840,$64.00,Personal Auto,Four-Door Car,$307.20
HB20453,Oregon,NA,Bachelor,0,$104.00,Personal Auto,Sports Car,$982.40
BN87372,Oregon,NA,Bachelor,75644,$65.00,Personal Auto,Two-Door Car,$467.80
YX23800,Oregon,NA,Bachelor,38984,$73.00,Personal Auto,Four-Door Car,$350.40
DZ87709,Oregon,NA,High School or Below,71811,$71.00,Personal Auto,Four-Door Car,$29.03
XW13033,Nevada,NA,College,20961,$67.00,Personal Auto,Four-Door Car,$321.60
SP81997,Washington,F,Master,41275,$96.00,Personal Auto,Four-Door Car,$41.12
OM82309,California,NA,Bachelor,61321,$186.00,Personal Auto,Luxury Car,$427.63
ZU35962,California,NA,College,0,$77.00,Personal Auto,Two-Door Car,$25.81
VH85817,California,NA,High School or Below,51066,$74.00,Personal Auto,Four-Door Car,$787.99
DT85712,California,NA,Doctor,34378,$102.00,Personal Auto,SUV,$489.60
YJ88573,Nevada,NA,Master,43072,$63.00,Personal Auto,Four-Door Car,$302.40
SQ19467,Oregon,NA,College,25222,$90.00,Personal Auto,Four-Door Car,$475.62
YB66933,Washington,F,Bachelor,77552,$68.00,Corporate Auto,Four-Door Car,$45.22
ET79815,California,NA,College,23091,$96.00,Personal Auto,Four-Door Car,$460.80
QC35222,California,NA,Bachelor,48269,$69.00,Corporate Auto,Four-Door Car,$282.15
CJ15590,Oregon,NA,Bachelor,32720,$67.00,Personal Auto,Four-Door Car,$321.60
OI48267,California,NA,College,20396,$76.00,Personal Auto,Four-Door Car,$364.80
JY67916,Oregon,NA,College,21513,$119.00,Personal Auto,Two-Door Car,$679.83
OW15518,Washington,F,College,0,$87.00,Personal Auto,Two-Door Car,$46.04
CZ33664,Oregon,NA,Bachelor,80744,$63.00,Corporate Auto,Four-Door Car,$11.88
WK30175,Oregon,NA,Bachelor,52822,$67.00,Corporate Auto,Two-Door Car,$350.53
ON44465,California,NA,High School or Below,0,$77.00,Personal Auto,Four-Door Car,$863.39
TV87155,Oregon,NA,Bachelor,69738,$74.00,Personal Auto,Four-Door Car,$492.13
KH48895,Arizona,NA,Master,17780,$109.00,Personal Auto,SUV,$132.59
NZ30757,California,NA,Bachelor,18107,$62.00,Personal Auto,Four-Door Car,$297.60
RI22468,Arizona,NA,Bachelor,57740,$74.00,Personal Auto,Four-Door Car,$269.91
FZ30935,Oregon,NA,College,32627,$76.00,Personal Auto,Two-Door Car,$380.04
UG93476,California,NA,College,0,$107.00,Personal Auto,SUV,$513.60
AB96670,California,NA,College,0,$70.00,Personal Auto,Four-Door Car,$425.27
XK64261,Oregon,NA,Bachelor,65795,$62.00,Corporate Auto,Two-Door Car,$49.01
EV68375,California,NA,College,60475,$107.00,Personal Auto,Four-Door Car,$513.60
UN51653,California,NA,High School or Below,0,$130.00,Personal Auto,SUV,$936.00
TO96662,Oregon,NA,Bachelor,41837,$88.00,Personal Auto,Four-Door Car,$142.06
MR52087,California,NA,Bachelor,32303,$65.00,Personal Auto,Four-Door Car,$45.15
DE75225,Oregon,NA,High School or Below,0,$117.00,Personal Auto,SUV,$561.60
EP80820,California,NA,Bachelor,40531,$74.00,Personal Auto,Two-Door Car,$30.57
GU99037,Oregon,NA,College,79898,$62.00,Corporate Auto,Four-Door Car,$271.61
WI57118,California,NA,College,56398,$85.00,Personal Auto,Four-Door Car,$408.00
GP39118,Washington,M,High School or Below,71600,$63.00,Personal Auto,Two-Door Car,$46.16
MQ14219,Arizona,NA,College,27804,$109.00,Personal Auto,SUV,$784.80
KN20603,Oregon,NA,Bachelor,45506,$66.00,Personal Auto,Four-Door Car,$316.80
SG20925,Washington,F,Master,99428,"$6,464.00",Personal Auto,Four-Door Car,$48.05
JI70886,California,NA,High School or Below,0,$102.00,Corporate Auto,SUV,$489.60
VF72557,Oregon,NA,High School or Below,20993,$133.00,Personal Auto,SUV,$638.40
OX28638,Arizona,NA,High School or Below,37839,$86.00,Personal Auto,Two-Door Car,$465.63
SK55033,California,NA,Bachelor,92711,$62.00,Personal Auto,Two-Door Car,$368.40
OO88645,California,NA,College,74665,$78.00,Corporate Auto,Four-Door Car,$236.90
FM14335,Washington,F,College,61108,$89.00,Personal Auto,Four-Door Car,$49.45
CW82151,California,NA,Bachelor,46833,$112.00,Personal Auto,Sports Car,$64.11
DY22043,Oregon,NA,High School or Below,88768,$68.00,Personal Auto,Two-Door Car,$326.40
SH36774,California,NA,High School or Below,28262,$192.00,Personal Auto,Luxury SUV,$921.60
EM43724,Nevada,NA,Bachelor,33555,$63.00,Personal Auto,Four-Door Car,$101.90
FH85960,Oregon,NA,College,42780,$113.00,Personal Auto,Four-Door Car,$542.40
XA55993,Oregon,NA,Master,58850,$78.00,Personal Auto,Four-Door Car,$143.75
GO36627,Arizona,NA,College,21880,$97.00,Special Auto,Four-Door Car,$424.08
QH48047,Oregon,NA,College,25251,$66.00,Personal Auto,Four-Door Car,$316.80
HS28694,Washington,F,High School or Below,25317,$71.00,Personal Auto,Two-Door Car,$50.42
UH65059,Arizona,NA,High School or Below,24188,$109.00,Personal Auto,Sports Car,$523.20
FV21968,Nevada,NA,Bachelor,41611,$74.00,Special Auto,Four-Door Car,$113.80
QA87025,Oregon,NA,Bachelor,28406,$72.00,Personal Auto,Four-Door Car,$192.88
TQ13499,Arizona,NA,College,69833,$118.00,Personal Auto,Four-Door Car,$828.66
BU44523,Arizona,NA,High School or Below,0,$74.00,Corporate Auto,Four-Door Car,$532.80
MS41162,Arizona,NA,High School or Below,0,$117.00,Personal Auto,SUV,$975.11
PU25891,Oregon,NA,High School or Below,80536,$119.00,Special Auto,Sports Car,$53.80
LH92841,Washington,F,Bachelor,88891,$89.00,Personal Auto,Four-Door Car,$50.53
SX26335,Oregon,NA,College,97732,$79.00,Personal Auto,Four-Door Car,$289.91
AZ95587,Arizona,F,Bachelor,61222,$89.00,Special Auto,Four-Door Car,$392.60
DS81757,Oregon,M,College,0,$74.00,Personal Auto,Two-Door Car,$721.24
OJ94107,Arizona,M,Master,50335,$140.00,Personal Auto,SUV,$456.52
LP84436,California,F,High School or Below,0,$127.00,Personal Auto,Sports Car,"$1,088.00"
FF22360,Washington,F,Doctor,82210,$68.00,Personal Auto,Four-Door Car,$51.96
LM19287,Oregon,F,High School or Below,0,$96.00,Personal Auto,Four-Door Car,$460.80
ZU18643,Nevada,M,Bachelor,64495,$92.00,Corporate Auto,Four-Door Car,$251.99
AZ82578,California,F,College,0,$72.00,Corporate Auto,Four-Door Car,$345.60
XC67861,Arizona,F,Bachelor,28859,$67.00,Corporate Auto,Two-Door Car,$321.60
YC43143,Arizona,F,High School or Below,77330,$99.00,Personal Auto,Four-Door Car,$99.26
EK59571,Oregon,M,College,0,$105.00,Corporate Auto,Four-Door Car,$504.00
PA38372,Washington,F,High School or Below,33060,$117.00,Personal Auto,Four-Door Car,$56.73
RO18530,Washington,M,Master,42557,$65.00,Personal Auto,Four-Door Car,$57.56
PD27940,Arizona,M,High School or Below,26372,$126.00,Personal Auto,SUV,$604.80
BS77946,Arizona,F,Bachelor,17514,$127.00,Personal Auto,SUV,$8.31
YM50253,California,F,Bachelor,89270,$74.00,Personal Auto,Four-Door Car,$316.60
NR15332,California,M,High School or Below,29757,$65.00,Personal Auto,Four-Door Car,$312.00
RC62865,Oregon,M,College,51814,$92.00,Personal Auto,Four-Door Car,$56.30
CC15295,Oregon,F,Bachelor,24028,$82.00,Personal Auto,Four-Door Car,$393.60
KA61892,Arizona,M,College,28142,$105.00,Personal Auto,Sports Car,$701.71
OS94884,Arizona,F,Bachelor,52705,$64.00,Personal Auto,Two-Door Car,$128.71
ND87334,California,M,High School or Below,0,$63.00,Corporate Auto,Two-Door Car,$679.37
OY51402,Washington,F,High School or Below,54040,$103.00,Personal Auto,SUV,$59.99
YL74911,California,F,College,0,$118.00,Personal Auto,SUV,$566.40
GK92563,Washington,F,Doctor,22492,$85.00,Personal Auto,Two-Door Car,$61.65
HL53154,California,M,Bachelor,0,$77.00,Personal Auto,Four-Door Car,$554.40
RI78966,Oregon,M,Master,21876,$68.00,Personal Auto,Four-Door Car,$465.41
IC13702,California,F,Bachelor,0,$69.00,Personal Auto,Four-Door Car,$496.80
BE10809,California,F,High School or Below,0,$61.00,Personal Auto,Four-Door Car,$292.80
HT87217,Oregon,F,High School or Below,70699,$82.00,Personal Auto,Four-Door Car,$256.81
TH95618,California,F,High School or Below,0,$74.00,Personal Auto,Four-Door Car,$355.20
TS19868,California,M,College,27501,$63.00,Personal Auto,Four-Door Car,$542.32
LP45550,Oregon,F,Doctor,15897,$101.00,Personal Auto,Four-Door Car,$303.15
QR87004,Nevada,F,College,25141,$73.00,Personal Auto,Four-Door Car,$25.44
OE75747,Nevada,F,College,0,$61.00,Personal Auto,Four-Door Car,$292.80
DX91392,California,M,High School or Below,51066,$74.00,Personal Auto,Four-Door Car,$787.99
AB72731,California,F,Bachelor,28358,$117.00,Personal Auto,Sports Car,$84.02
GX84338,Washington,F,Doctor,62530,$95.00,Personal Auto,Four-Door Car,$61.69
IS12901,Arizona,F,Bachelor,90972,$74.00,Personal Auto,Two-Door Car,$232.93
BN90616,Washington,F,Bachelor,63110,$72.00,Personal Auto,Four-Door Car,$68.18
HH90090,California,F,Bachelor,29549,$104.00,Personal Auto,Sports Car,$710.43
IU25463,California,F,Bachelor,0,$115.00,Personal Auto,Four-Door Car,$552.00
KC11055,Nevada,F,Bachelor,39411,$217.00,Personal Auto,Luxury Car,"$1,122.66"
PD33979,Oregon,M,High School or Below,21709,$62.00,Personal Auto,Four-Door Car,$408.37
NK71023,Nevada,M,Bachelor,67890,$85.00,Personal Auto,Four-Door Car,$408.00
AB13432,California,M,Bachelor,0,$110.00,Personal Auto,SUV,$792.00
OZ97704,California,F,High School or Below,84311,$111.00,Personal Auto,SUV,$532.80
UF46533,California,F,College,99316,$114.00,Corporate Auto,SUV,$754.36
XP47431,Arizona,F,Bachelor,54507,$138.00,Personal Auto,SUV,$702.99
GK73582,California,F,Bachelor,64586,$76.00,Personal Auto,Four-Door Car,$206.84
RV98763,Oregon,M,College,61709,$82.00,Personal Auto,Four-Door Car,$275.40
II62831,California,M,Master,94656,$111.00,Special Auto,SUV,$459.74
XK33449,California,F,High School or Below,0,$69.00,Special Auto,Two-Door Car,$496.80
TR85083,California,M,Bachelor,61085,$70.00,Personal Auto,Two-Door Car,$336.00
EO95328,Oregon,F,Bachelor,89284,$67.00,Personal Auto,Two-Door Car,$321.60
EN21086,Arizona,F,High School or Below,0,$63.00,Personal Auto,Four-Door Car,$302.40
YL83902,Washington,F,Bachelor,31686,$81.00,Personal Auto,Four-Door Car,$430.99
AZ62651,Oregon,M,High School or Below,56855,$255.00,Corporate Auto,Luxury SUV,"$1,836.00"
ZW25874,Oregon,M,Bachelor,53703,$67.00,Special Auto,Four-Door Car,$67.63
EH41854,Washington,F,High School or Below,0,$96.00,Personal Auto,Two-Door Car,$844.48
MW70227,California,M,College,20396,$76.00,Personal Auto,Four-Door Car,$364.80
SL22297,California,F,Master,27679,$150.00,Personal Auto,SUV,$722.49
RV14138,Nevada,F,Bachelor,23904,$123.00,Personal Auto,SUV,$590.40
UO62808,Arizona,F,High School or Below,65351,$69.00,Corporate Auto,Four-Door Car,$481.03
ZX64745,California,M,College,0,$113.00,Personal Auto,SUV,"$1,124.43"
FL34139,California,M,High School or Below,0,$63.00,Personal Auto,Four-Door Car,$669.68
TS11219,California,M,College,0,$116.00,Personal Auto,SUV,"$1,284.09"
XX12304,California,F,College,64459,$72.00,Personal Auto,Four-Door Car,$240.26
SD64087,California,M,College,32961,$190.00,Corporate Auto,SUV,$912.00
OY38576,Oregon,F,High School or Below,71416,$116.00,Corporate Auto,SUV,$556.80
BG76355,Washington,F,Bachelor,68964,$78.00,Personal Auto,Four-Door Car,$115.09
IP66913,California,M,High School or Below,78108,$98.00,Personal Auto,Two-Door Car,$470.40
LE95702,California,M,College,10621,$67.00,Special Auto,Four-Door Car,$321.60
KX54357,Washington,M,College,84910,$95.00,Corporate Auto,Two-Door Car,$383.17
EZ78112,California,F,High School or Below,77493,$70.00,Special Auto,Four-Door Car,$307.96
XN16891,Arizona,M,College,81097,$74.00,Personal Auto,Four-Door Car,$355.20
XK31350,Oregon,F,College,96610,$85.00,Corporate Auto,Four-Door Car,$520.36
CC30924,Oregon,M,College,30110,$159.00,Corporate Auto,Sports Car,$466.44
IT78748,Oregon,F,High School or Below,22081,$84.00,Special Auto,Two-Door Car,$451.67
KY33386,Washington,F,High School or Below,0,$112.00,Personal Auto,Sports Car,$537.60
CO44221,California,M,College,98473,$72.00,Personal Auto,Four-Door Car,$345.60
LK60013,Oregon,F,Bachelor,97431,$74.00,Personal Auto,Four-Door Car,$355.20
DE21533,California,M,Bachelor,93870,$69.00,Personal Auto,Four-Door Car,$331.20
YS94121,Nevada,M,High School or Below,50366,$72.00,Personal Auto,Four-Door Car,$428.73
UK68427,Washington,M,High School or Below,34498,$83.00,Personal Auto,Two-Door Car,$398.40
TE49565,Oregon,F,College,16552,$103.00,Personal Auto,SUV,$494.40
RA88421,Oregon,F,College,26787,$77.00,Personal Auto,Four-Door Car,$369.60
KQ51983,Nevada,M,College,0,$74.00,Personal Auto,Two-Door Car,$831.75
CD88896,Nevada,F,High School or Below,43860,$65.00,Corporate Auto,Four-Door Car,$156.12
YV22553,Arizona,M,High School or Below,21474,$114.00,Corporate Auto,SUV,$373.43
WU14435,California,M,Bachelor,18174,$66.00,Corporate Auto,Four-Door Car,$395.93
XV84099,Arizona,F,Bachelor,0,$73.00,Corporate Auto,Four-Door Car,$350.40
RI24911,Arizona,M,College,60920,$64.00,Personal Auto,Two-Door Car,$231.20
KO26461,Arizona,M,High School or Below,41520,$90.00,Personal Auto,Four-Door Car,$289.90
HI14283,Oregon,F,Bachelor,0,$152.00,Personal Auto,SUV,$729.60
PT50227,Arizona,M,High School or Below,0,$68.00,Personal Auto,Two-Door Car,$326.40
BH36570,California,M,Bachelor,72208,$73.00,Personal Auto,Two-Door Car,$350.40
TX17484,California,F,Bachelor,53863,$63.00,Personal Auto,Four-Door Car,$105.77
CT41158,Washington,M,College,66446,$136.00,Corporate Auto,SUV,$639.46
AO87348,Washington,M,College,0,$61.00,Personal Auto,Four-Door Car,$292.80
DE55857,Washington,F,Bachelor,64997,$63.00,Personal Auto,Four-Door Car,$383.44
LF66923,Nevada,F,High School or Below,64460,$66.00,Corporate Auto,Two-Door Car,$316.80
CN24514,Arizona,F,College,46618,$67.00,Personal Auto,Four-Door Car,$99.09
UW32074,Oregon,F,College,0,$64.00,Corporate Auto,Four-Door Car,$307.20
HP36979,California,M,College,49988,$84.00,Personal Auto,Two-Door Car,$566.94
PP40919,California,F,College,0,$91.00,Personal Auto,Two-Door Car,$436.80
RO73268,California,M,Bachelor,16269,$86.00,Corporate Auto,Two-Door Car,$412.80
HO61691,Arizona,F,Bachelor,72006,$64.00,Personal Auto,Four-Door Car,$307.20
BS13062,Arizona,F,High School or Below,0,$81.00,Personal Auto,Four-Door Car,$388.80
FO35655,Oregon,M,Bachelor,0,$245.00,Corporate Auto,Luxury SUV,"$2,345.41"
HR10526,California,M,Master,44320,$67.00,Personal Auto,Four-Door Car,$321.60
IA63417,Arizona,F,High School or Below,19782,$108.00,Personal Auto,Two-Door Car,$773.47
BH35016,Nevada,F,Bachelor,63933,$70.00,Personal Auto,Two-Door Car,$424.88
PK52952,Arizona,M,Doctor,28224,$109.00,Personal Auto,SUV,$523.20
OD76309,Washington,F,College,21073,$106.00,Personal Auto,SUV,$508.80
IL28481,Oregon,M,Bachelor,63243,$77.00,Personal Auto,Four-Door Car,$364.24
GY55092,Nevada,M,High School or Below,20993,$133.00,Personal Auto,SUV,$638.40
UF33451,Oregon,F,Bachelor,94827,$135.00,Personal Auto,SUV,$354.73
CF15558,California,F,Master,39161,$63.00,Personal Auto,Two-Door Car,$284.00
JM62924,Washington,M,Bachelor,37534,$84.00,Personal Auto,Four-Door Car,$403.20
EM66435,Oregon,F,Bachelor,80210,$65.00,Corporate Auto,Four-Door Car,$20.54
QX45933,California,M,Bachelor,0,$62.00,Personal Auto,Four-Door Car,$385.12
JI71369,California,F,College,30110,$64.00,Personal Auto,Four-Door Car,$140.17
JU93290,Arizona,F,College,21708,$68.00,Personal Auto,Four-Door Car,$326.40
GU66096,Arizona,M,High School or Below,94731,$67.00,Personal Auto,Four-Door Car,$321.60
UC33108,California,M,Bachelor,32375,$83.00,Personal Auto,Four-Door Car,$398.40
